municipio,trimestre,Condição de ocupação,quantidade de condição de ocupação
Recife (PE),1º trimestre 2019,Força de trabalho - ocupada,710
Recife (PE),1º trimestre 2019,Força de trabalho - desocupada,131
Recife (PE),1º trimestre 2019,Fora da força de trabalho,492
Recife (PE),2º trimestre 2019,Força de trabalho,845
Recife (PE),2º trimestre 2019,Força de trabalho - ocupada,704
Recife (PE),2º trimestre 2019,Força de trabalho - desocupada,141
Recife (PE),2º trimestre 2019,Fora da força de trabalho,494
Recife (PE),3º trimestre 2019,Força de trabalho,853
Recife (PE),3º trimestre 2019,Força de trabalho - ocupada,701
Recife (PE),3º trimestre 2019,Força de trabalho - desocupada,152
Recife (PE),3º trimestre 2019,Fora da força de trabalho,492
Recife (PE),4º trimestre 2019,Força de trabalho,880
Recife (PE),4º trimestre 2019,Força de trabalho - ocupada,755
Recife (PE),4º trimestre 2019,Força de trabalho - desocupada,125
Recife (PE),4º trimestre 2019,Fora da força de trabalho,493
Recife (PE),1º trimestre 2020,Força de trabalho,872
Recife (PE),1º trimestre 2020,Força de trabalho - ocupada,748
Recife (PE),1º trimestre 2020,Força de trabalho - desocupada,124
Recife (PE),1º trimestre 2020,Fora da força de trabalho,506
Recife (PE),2º trimestre 2020,Força de trabalho,0
Recife (PE),2º trimestre 2020,Força de trabalho - ocupada,0
Recife (PE),2º trimestre 2020,Força de trabalho - desocupada,0
Recife (PE),2º trimestre 2020,Fora da força de trabalho,0
Recife (PE),3º trimestre 2020,Força de trabalho,0
Recife (PE),3º trimestre 2020,Força de trabalho - ocupada,0
Recife (PE),3º trimestre 2020,Força de trabalho - desocupada,0
Recife (PE),3º trimestre 2020,Fora da força de trabalho,0
Recife (PE),4º trimestre 2020,Força de trabalho,0
Recife (PE),4º trimestre 2020,Força de trabalho - ocupada,0
Recife (PE),4º trimestre 2020,Força de trabalho - desocupada,0
Recife (PE),4º trimestre 2020,Fora da força de trabalho,0
Recife (PE),1º trimestre 2021,Força de trabalho,0
Recife (PE),1º trimestre 2021,Força de trabalho - ocupada,0
Recife (PE),1º trimestre 2021,Força de trabalho - desocupada,0
Recife (PE),1º trimestre 2021,Fora da força de trabalho,0
Recife (PE),2º trimestre 2021,Força de trabalho,0
Recife (PE),2º trimestre 2021,Força de trabalho - ocupada,0
Recife (PE),2º trimestre 2021,Força de trabalho - desocupada,0
Recife (PE),2º trimestre 2021,Fora da força de trabalho,0
Recife (PE),3º trimestre 2021,Força de trabalho,0
Recife (PE),3º trimestre 2021,Força de trabalho - ocupada,0
Recife (PE),3º trimestre 2021,Força de trabalho - desocupada,0
Recife (PE),3º trimestre 2021,Fora da força de trabalho,0
Recife (PE),4º trimestre 2021,Força de trabalho,0
Recife (PE),4º trimestre 2021,Força de trabalho - ocupada,0
Recife (PE),4º trimestre 2021,Força de trabalho - desocupada,0
Recife (PE),4º trimestre 2021,Fora da força de trabalho,0
Recife (PE),1º trimestre 2022,Força de trabalho,0
Recife (PE),1º trimestre 2022,Força de trabalho - ocupada,0
Recife (PE),1º trimestre 2022,Força de trabalho - desocupada,0
Recife (PE),1º trimestre 2022,Fora da força de trabalho,0
Recife (PE),2º trimestre 2022,Força de trabalho,873
Recife (PE),2º trimestre 2022,Força de trabalho - ocupada,750
Recife (PE),2º trimestre 2022,Força de trabalho - desocupada,123
Recife (PE),2º trimestre 2022,Fora da força de trabalho,472
Recife (PE),3º trimestre 2022,Força de trabalho,870
Recife (PE),3º trimestre 2022,Força de trabalho - ocupada,742
Recife (PE),3º trimestre 2022,Força de trabalho - desocupada,128
Recife (PE),3º trimestre 2022,Fora da força de trabalho,502
Recife (PE),4º trimestre 2022,Força de trabalho,880
Recife (PE),4º trimestre 2022,Força de trabalho - ocupada,765
Recife (PE),4º trimestre 2022,Força de trabalho - desocupada,115
Recife (PE),4º trimestre 2022,Fora da força de trabalho,494
Recife (PE),1º trimestre 2023,Força de trabalho,881
Recife (PE),1º trimestre 2023,Força de trabalho - ocupada,749
Recife (PE),1º trimestre 2023,Força de trabalho - desocupada,133
Recife (PE),1º trimestre 2023,Fora da força de trabalho,496
Recife (PE),2º trimestre 2023,Força de trabalho,878
Recife (PE),2º trimestre 2023,Força de trabalho - ocupada,735
Recife (PE),2º trimestre 2023,Força de trabalho - desocupada,143
Recife (PE),2º trimestre 2023,Fora da força de trabalho,519
Recife (PE),3º trimestre 2023,Força de trabalho,863
Recife (PE),3º trimestre 2023,Força de trabalho - ocupada,742
Recife (PE),3º trimestre 2023,Força de trabalho - desocupada,121
Recife (PE),3º trimestre 2023,Fora da força de trabalho,540
Recife (PE),4º trimestre 2023,Força de trabalho,854
Recife (PE),4º trimestre 2023,Força de trabalho - ocupada,752
Recife (PE),4º trimestre 2023,Força de trabalho - desocupada,101
Recife (PE),4º trimestre 2023,Fora da força de trabalho,544
Recife (PE),1º trimestre 2024,Força de trabalho,867
Recife (PE),1º trimestre 2024,Força de trabalho - ocupada,771
Recife (PE),1º trimestre 2024,Força de trabalho - desocupada,96
Recife (PE),1º trimestre 2024,Fora da força de trabalho,516
Recife (PE),2º trimestre 2024,Força de trabalho,894
Recife (PE),2º trimestre 2024,Força de trabalho - ocupada,796
Recife (PE),2º trimestre 2024,Força de trabalho - desocupada,98
Recife (PE),2º trimestre 2024,Fora da força de trabalho,501
Recife (PE),3º trimestre 2024,Força de trabalho,885
Recife (PE),3º trimestre 2024,Força de trabalho - ocupada,793
Recife (PE),3º trimestre 2024,Força de trabalho - desocupada,92
Recife (PE),3º trimestre 2024,Fora da força de trabalho,521
Recife (PE),4º trimestre 2024,Força de trabalho,918
Recife (PE),4º trimestre 2024,Força de trabalho - ocupada,819
Recife (PE),4º trimestre 2024,Força de trabalho - desocupada,98
Recife (PE),4º trimestre 2024,Fora da força de trabalho,475
Maceió (AL),1º trimestre 2012,Força de trabalho,425
Maceió (AL),1º trimestre 2012,Força de trabalho - ocupada,370
Maceió (AL),1º trimestre 2012,Força de trabalho - desocupada,55
Maceió (AL),1º trimestre 2012,Fora da força de trabalho,331
Maceió (AL),2º trimestre 2012,Força de trabalho,417
Maceió (AL),2º trimestre 2012,Força de trabalho - ocupada,371
Maceió (AL),2º trimestre 2012,Força de trabalho - desocupada,46
Maceió (AL),2º trimestre 2012,Fora da força de trabalho,339
Maceió (AL),3º trimestre 2012,Força de trabalho,439
Maceió (AL),3º trimestre 2012,Força de trabalho - ocupada,384
Maceió (AL),3º trimestre 2012,Força de trabalho - desocupada,55
Maceió (AL),3º trimestre 2012,Fora da força de trabalho,329
Maceió (AL),4º trimestre 2012,Força de trabalho,445
Maceió (AL),4º trimestre 2012,Força de trabalho - ocupada,389
Maceió (AL),4º trimestre 2012,Força de trabalho - desocupada,56
Maceió (AL),4º trimestre 2012,Fora da força de trabalho,323
Maceió (AL),1º trimestre 2013,Força de trabalho,458
Maceió (AL),1º trimestre 2013,Força de trabalho - ocupada,394
Maceió (AL),1º trimestre 2013,Força de trabalho - desocupada,65
Maceió (AL),1º trimestre 2013,Fora da força de trabalho,308
Maceió (AL),2º trimestre 2013,Força de trabalho,448
Maceió (AL),2º trimestre 2013,Força de trabalho - ocupada,391
Maceió (AL),2º trimestre 2013,Força de trabalho - desocupada,58
Maceió (AL),2º trimestre 2013,Fora da força de trabalho,318
Maceió (AL),3º trimestre 2013,Força de trabalho,444
Maceió (AL),3º trimestre 2013,Força de trabalho - ocupada,393
Maceió (AL),3º trimestre 2013,Força de trabalho - desocupada,52
Maceió (AL),3º trimestre 2013,Fora da força de trabalho,330
Maceió (AL),4º trimestre 2013,Força de trabalho,444
Maceió (AL),4º trimestre 2013,Força de trabalho - ocupada,393
Maceió (AL),4º trimestre 2013,Força de trabalho - desocupada,51
Maceió (AL),4º trimestre 2013,Fora da força de trabalho,328
Maceió (AL),1º trimestre 2014,Força de trabalho,445
Maceió (AL),1º trimestre 2014,Força de trabalho - ocupada,396
Maceió (AL),1º trimestre 2014,Força de trabalho - desocupada,48
Maceió (AL),1º trimestre 2014,Fora da força de trabalho,324
Maceió (AL),2º trimestre 2014,Força de trabalho,442
Maceió (AL),2º trimestre 2014,Força de trabalho - ocupada,395
Maceió (AL),2º trimestre 2014,Força de trabalho - desocupada,47
Maceió (AL),2º trimestre 2014,Fora da força de trabalho,324
Maceió (AL),3º trimestre 2014,Força de trabalho,453
Maceió (AL),3º trimestre 2014,Força de trabalho - ocupada,402
Maceió (AL),3º trimestre 2014,Força de trabalho - desocupada,50
Maceió (AL),3º trimestre 2014,Fora da força de trabalho,319
Maceió (AL),4º trimestre 2014,Força de trabalho,460
Maceió (AL),4º trimestre 2014,Força de trabalho - ocupada,410
Maceió (AL),4º trimestre 2014,Força de trabalho - desocupada,51
Maceió (AL),4º trimestre 2014,Fora da força de trabalho,315
Maceió (AL),1º trimestre 2015,Força de trabalho,470
Maceió (AL),1º trimestre 2015,Força de trabalho - ocupada,414
Maceió (AL),1º trimestre 2015,Força de trabalho - desocupada,56
Maceió (AL),1º trimestre 2015,Fora da força de trabalho,301
Maceió (AL),2º trimestre 2015,Força de trabalho,467
Maceió (AL),2º trimestre 2015,Força de trabalho - ocupada,409
Maceió (AL),2º trimestre 2015,Força de trabalho - desocupada,58
Maceió (AL),2º trimestre 2015,Fora da força de trabalho,310
Maceió (AL),3º trimestre 2015,Força de trabalho,473
Maceió (AL),3º trimestre 2015,Força de trabalho - ocupada,413
Maceió (AL),3º trimestre 2015,Força de trabalho - desocupada,60
Maceió (AL),3º trimestre 2015,Fora da força de trabalho,316
Maceió (AL),4º trimestre 2015,Força de trabalho,474
Maceió (AL),4º trimestre 2015,Força de trabalho - ocupada,422
Maceió (AL),4º trimestre 2015,Força de trabalho - desocupada,53
Maceió (AL),4º trimestre 2015,Fora da força de trabalho,316
Maceió (AL),1º trimestre 2016,Força de trabalho,481
Maceió (AL),1º trimestre 2016,Força de trabalho - ocupada,415
Maceió (AL),1º trimestre 2016,Força de trabalho - desocupada,66
Maceió (AL),1º trimestre 2016,Fora da força de trabalho,315
Maceió (AL),2º trimestre 2016,Força de trabalho,469
Maceió (AL),2º trimestre 2016,Força de trabalho - ocupada,403
Maceió (AL),2º trimestre 2016,Força de trabalho - desocupada,66
Maceió (AL),2º trimestre 2016,Fora da força de trabalho,326
Maceió (AL),3º trimestre 2016,Força de trabalho,486
Maceió (AL),3º trimestre 2016,Força de trabalho - ocupada,418
Maceió (AL),3º trimestre 2016,Força de trabalho - desocupada,68
Maceió (AL),3º trimestre 2016,Fora da força de trabalho,312
Maceió (AL),4º trimestre 2016,Força de trabalho,485
Maceió (AL),4º trimestre 2016,Força de trabalho - ocupada,411
Maceió (AL),4º trimestre 2016,Força de trabalho - desocupada,74
Maceió (AL),4º trimestre 2016,Fora da força de trabalho,319
Maceió (AL),1º trimestre 2017,Força de trabalho,483
Maceió (AL),1º trimestre 2017,Força de trabalho - ocupada,403
Maceió (AL),1º trimestre 2017,Força de trabalho - desocupada,80
Maceió (AL),1º trimestre 2017,Fora da força de trabalho,326
Maceió (AL),2º trimestre 2017,Força de trabalho,466
Maceió (AL),2º trimestre 2017,Força de trabalho - ocupada,386
Maceió (AL),2º trimestre 2017,Força de trabalho - desocupada,80
Maceió (AL),2º trimestre 2017,Fora da força de trabalho,342
Maceió (AL),3º trimestre 2017,Força de trabalho,452
Maceió (AL),3º trimestre 2017,Força de trabalho - ocupada,381
Maceió (AL),3º trimestre 2017,Força de trabalho - desocupada,71
Maceió (AL),3º trimestre 2017,Fora da força de trabalho,363
Maceió (AL),4º trimestre 2017,Força de trabalho,437
Maceió (AL),4º trimestre 2017,Força de trabalho - ocupada,371
Maceió (AL),4º trimestre 2017,Força de trabalho - desocupada,66
Maceió (AL),4º trimestre 2017,Fora da força de trabalho,381
Maceió (AL),1º trimestre 2018,Força de trabalho,456
Maceió (AL),1º trimestre 2018,Força de trabalho - ocupada,378
Maceió (AL),1º trimestre 2018,Força de trabalho - desocupada,78
Maceió (AL),1º trimestre 2018,Fora da força de trabalho,361
Maceió (AL),2º trimestre 2018,Força de trabalho,451
Maceió (AL),2º trimestre 2018,Força de trabalho - ocupada,376
Maceió (AL),2º trimestre 2018,Força de trabalho - desocupada,75
Maceió (AL),2º trimestre 2018,Fora da força de trabalho,374
Maceió (AL),3º trimestre 2018,Força de trabalho,462
Maceió (AL),3º trimestre 2018,Força de trabalho - ocupada,382
Maceió (AL),3º trimestre 2018,Força de trabalho - desocupada,80
Maceió (AL),3º trimestre 2018,Fora da força de trabalho,358
Maceió (AL),4º trimestre 2018,Força de trabalho,457
Maceió (AL),4º trimestre 2018,Força de trabalho - ocupada,382
Maceió (AL),4º trimestre 2018,Força de trabalho - desocupada,75
Maceió (AL),4º trimestre 2018,Fora da força de trabalho,369
Maceió (AL),1º trimestre 2019,Força de trabalho,451
Maceió (AL),1º trimestre 2019,Força de trabalho - ocupada,388
Maceió (AL),1º trimestre 2019,Força de trabalho - desocupada,63
Maceió (AL),1º trimestre 2019,Fora da força de trabalho,378
Maceió (AL),2º trimestre 2019,Força de trabalho,474
Maceió (AL),2º trimestre 2019,Força de trabalho - ocupada,413
Maceió (AL),2º trimestre 2019,Força de trabalho - desocupada,61
Maceió (AL),2º trimestre 2019,Fora da força de trabalho,364
Maceió (AL),3º trimestre 2019,Força de trabalho,471
Maceió (AL),3º trimestre 2019,Força de trabalho - ocupada,409
Maceió (AL),3º trimestre 2019,Força de trabalho - desocupada,62
Maceió (AL),3º trimestre 2019,Fora da força de trabalho,372
Maceió (AL),4º trimestre 2019,Força de trabalho,461
Maceió (AL),4º trimestre 2019,Força de trabalho - ocupada,410
Maceió (AL),4º trimestre 2019,Força de trabalho - desocupada,51
Maceió (AL),4º trimestre 2019,Fora da força de trabalho,374
Maceió (AL),1º trimestre 2020,Força de trabalho,493
Maceió (AL),1º trimestre 2020,Força de trabalho - ocupada,429
Maceió (AL),1º trimestre 2020,Força de trabalho - desocupada,64
Maceió (AL),1º trimestre 2020,Fora da força de trabalho,327
Maceió (AL),2º trimestre 2020,Força de trabalho,0
Maceió (AL),2º trimestre 2020,Força de trabalho - ocupada,0
Maceió (AL),2º trimestre 2020,Força de trabalho - desocupada,0
Maceió (AL),2º trimestre 2020,Fora da força de trabalho,0
Maceió (AL),3º trimestre 2020,Força de trabalho,0
Maceió (AL),3º trimestre 2020,Força de trabalho - ocupada,0
Maceió (AL),3º trimestre 2020,Força de trabalho - desocupada,0
Maceió (AL),3º trimestre 2020,Fora da força de trabalho,0
Maceió (AL),4º trimestre 2020,Força de trabalho,0
Maceió (AL),4º trimestre 2020,Força de trabalho - ocupada,0
Maceió (AL),4º trimestre 2020,Força de trabalho - desocupada,0
Maceió (AL),4º trimestre 2020,Fora da força de trabalho,0
Maceió (AL),1º trimestre 2021,Força de trabalho,0
Maceió (AL),1º trimestre 2021,Força de trabalho - ocupada,0
Maceió (AL),1º trimestre 2021,Força de trabalho - desocupada,0
Maceió (AL),1º trimestre 2021,Fora da força de trabalho,0
Maceió (AL),2º trimestre 2021,Força de trabalho,0
Maceió (AL),2º trimestre 2021,Força de trabalho - ocupada,0
Maceió (AL),2º trimestre 2021,Força de trabalho - desocupada,0
Maceió (AL),2º trimestre 2021,Fora da força de trabalho,0
Maceió (AL),3º trimestre 2021,Força de trabalho,0
Maceió (AL),3º trimestre 2021,Força de trabalho - ocupada,0
Maceió (AL),3º trimestre 2021,Força de trabalho - desocupada,0
Maceió (AL),3º trimestre 2021,Fora da força de trabalho,0
Maceió (AL),4º trimestre 2021,Força de trabalho,0
Maceió (AL),4º trimestre 2021,Força de trabalho - ocupada,0
Maceió (AL),4º trimestre 2021,Força de trabalho - desocupada,0
Maceió (AL),4º trimestre 2021,Fora da força de trabalho,0
Maceió (AL),1º trimestre 2022,Força de trabalho,0
Maceió (AL),1º trimestre 2022,Força de trabalho - ocupada,0
Maceió (AL),1º trimestre 2022,Força de trabalho - desocupada,0
Maceió (AL),1º trimestre 2022,Fora da força de trabalho,0
Maceió (AL),2º trimestre 2022,Força de trabalho,521
Maceió (AL),2º trimestre 2022,Força de trabalho - ocupada,459
Maceió (AL),2º trimestre 2022,Força de trabalho - desocupada,63
Maceió (AL),2º trimestre 2022,Fora da força de trabalho,313
Maceió (AL),3º trimestre 2022,Força de trabalho,520
Maceió (AL),3º trimestre 2022,Força de trabalho - ocupada,457
Maceió (AL),3º trimestre 2022,Força de trabalho - desocupada,63
Maceió (AL),3º trimestre 2022,Fora da força de trabalho,308
Maceió (AL),4º trimestre 2022,Força de trabalho,527
Maceió (AL),4º trimestre 2022,Força de trabalho - ocupada,472
Maceió (AL),4º trimestre 2022,Força de trabalho - desocupada,55
Maceió (AL),4º trimestre 2022,Fora da força de trabalho,303
Maceió (AL),1º trimestre 2023,Força de trabalho,510
Maceió (AL),1º trimestre 2023,Força de trabalho - ocupada,448
Maceió (AL),1º trimestre 2023,Força de trabalho - desocupada,62
Maceió (AL),1º trimestre 2023,Fora da força de trabalho,320
Maceió (AL),2º trimestre 2023,Força de trabalho,511
Maceió (AL),2º trimestre 2023,Força de trabalho - ocupada,459
Maceió (AL),2º trimestre 2023,Força de trabalho - desocupada,53
Maceió (AL),2º trimestre 2023,Fora da força de trabalho,330
Maceió (AL),3º trimestre 2023,Força de trabalho,511
Maceió (AL),3º trimestre 2023,Força de trabalho - ocupada,463
Maceió (AL),3º trimestre 2023,Força de trabalho - desocupada,48
Maceió (AL),3º trimestre 2023,Fora da força de trabalho,331
Maceió (AL),4º trimestre 2023,Força de trabalho,517
Maceió (AL),4º trimestre 2023,Força de trabalho - ocupada,473
Maceió (AL),4º trimestre 2023,Força de trabalho - desocupada,44
Maceió (AL),4º trimestre 2023,Fora da força de trabalho,325
Maceió (AL),1º trimestre 2024,Força de trabalho,503
Maceió (AL),1º trimestre 2024,Força de trabalho - ocupada,456
Maceió (AL),1º trimestre 2024,Força de trabalho - desocupada,46
Maceió (AL),1º trimestre 2024,Fora da força de trabalho,338
Maceió (AL),2º trimestre 2024,Força de trabalho,529
Maceió (AL),2º trimestre 2024,Força de trabalho - ocupada,484
Maceió (AL),2º trimestre 2024,Força de trabalho - desocupada,45
Maceió (AL),2º trimestre 2024,Fora da força de trabalho,324
Maceió (AL),3º trimestre 2024,Força de trabalho,507
Maceió (AL),3º trimestre 2024,Força de trabalho - ocupada,470
Maceió (AL),3º trimestre 2024,Força de trabalho - desocupada,37
Maceió (AL),3º trimestre 2024,Fora da força de trabalho,344
Maceió (AL),4º trimestre 2024,Força de trabalho,531
Maceió (AL),4º trimestre 2024,Força de trabalho - ocupada,493
Maceió (AL),4º trimestre 2024,Força de trabalho - desocupada,38
Maceió (AL),4º trimestre 2024,Fora da força de trabalho,319
Aracaju (SE),1º trimestre 2012,Força de trabalho,288
Aracaju (SE),1º trimestre 2012,Força de trabalho - ocupada,257
Aracaju (SE),1º trimestre 2012,Força de trabalho - desocupada,31
Aracaju (SE),1º trimestre 2012,Fora da força de trabalho,176
Aracaju (SE),2º trimestre 2012,Força de trabalho,290
Aracaju (SE),2º trimestre 2012,Força de trabalho - ocupada,254
Aracaju (SE),2º trimestre 2012,Força de trabalho - desocupada,35
Aracaju (SE),2º trimestre 2012,Fora da força de trabalho,180
Aracaju (SE),3º trimestre 2012,Força de trabalho,290
Aracaju (SE),3º trimestre 2012,Força de trabalho - ocupada,258
Aracaju (SE),3º trimestre 2012,Força de trabalho - desocupada,32
Aracaju (SE),3º trimestre 2012,Fora da força de trabalho,177
Aracaju (SE),4º trimestre 2012,Força de trabalho,306
Aracaju (SE),4º trimestre 2012,Força de trabalho - ocupada,272
Aracaju (SE),4º trimestre 2012,Força de trabalho - desocupada,34
Aracaju (SE),4º trimestre 2012,Fora da força de trabalho,170
Aracaju (SE),1º trimestre 2013,Força de trabalho,311
Aracaju (SE),1º trimestre 2013,Força de trabalho - ocupada,270
Aracaju (SE),1º trimestre 2013,Força de trabalho - desocupada,41
Aracaju (SE),1º trimestre 2013,Fora da força de trabalho,168
Aracaju (SE),2º trimestre 2013,Força de trabalho,310
Aracaju (SE),2º trimestre 2013,Força de trabalho - ocupada,274
Aracaju (SE),2º trimestre 2013,Força de trabalho - desocupada,36
Aracaju (SE),2º trimestre 2013,Fora da força de trabalho,180
Aracaju (SE),3º trimestre 2013,Força de trabalho,322
Aracaju (SE),3º trimestre 2013,Força de trabalho - ocupada,285
Aracaju (SE),3º trimestre 2013,Força de trabalho - desocupada,37
Aracaju (SE),3º trimestre 2013,Fora da força de trabalho,167
Aracaju (SE),4º trimestre 2013,Força de trabalho,312
Aracaju (SE),4º trimestre 2013,Força de trabalho - ocupada,279
Aracaju (SE),4º trimestre 2013,Força de trabalho - desocupada,33
Aracaju (SE),4º trimestre 2013,Fora da força de trabalho,178
Aracaju (SE),1º trimestre 2014,Força de trabalho,301
Aracaju (SE),1º trimestre 2014,Força de trabalho - ocupada,272
Aracaju (SE),1º trimestre 2014,Força de trabalho - desocupada,29
Aracaju (SE),1º trimestre 2014,Fora da força de trabalho,187
Aracaju (SE),2º trimestre 2014,Força de trabalho,315
Aracaju (SE),2º trimestre 2014,Força de trabalho - ocupada,281
Aracaju (SE),2º trimestre 2014,Força de trabalho - desocupada,34
Aracaju (SE),2º trimestre 2014,Fora da força de trabalho,180
Aracaju (SE),3º trimestre 2014,Força de trabalho,310
Aracaju (SE),3º trimestre 2014,Força de trabalho - ocupada,279
Aracaju (SE),3º trimestre 2014,Força de trabalho - desocupada,31
Aracaju (SE),3º trimestre 2014,Fora da força de trabalho,185
Aracaju (SE),4º trimestre 2014,Força de trabalho,312
Aracaju (SE),4º trimestre 2014,Força de trabalho - ocupada,279
Aracaju (SE),4º trimestre 2014,Força de trabalho - desocupada,32
Aracaju (SE),4º trimestre 2014,Fora da força de trabalho,185
Aracaju (SE),1º trimestre 2015,Força de trabalho,313
Aracaju (SE),1º trimestre 2015,Força de trabalho - ocupada,283
Aracaju (SE),1º trimestre 2015,Força de trabalho - desocupada,30
Aracaju (SE),1º trimestre 2015,Fora da força de trabalho,184
Aracaju (SE),2º trimestre 2015,Força de trabalho,315
Aracaju (SE),2º trimestre 2015,Força de trabalho - ocupada,284
Aracaju (SE),2º trimestre 2015,Força de trabalho - desocupada,31
Aracaju (SE),2º trimestre 2015,Fora da força de trabalho,188
Aracaju (SE),3º trimestre 2015,Força de trabalho,303
Aracaju (SE),3º trimestre 2015,Força de trabalho - ocupada,273
Aracaju (SE),3º trimestre 2015,Força de trabalho - desocupada,30
Aracaju (SE),3º trimestre 2015,Fora da força de trabalho,203
Aracaju (SE),4º trimestre 2015,Força de trabalho,305
Aracaju (SE),4º trimestre 2015,Força de trabalho - ocupada,271
Aracaju (SE),4º trimestre 2015,Força de trabalho - desocupada,33
Aracaju (SE),4º trimestre 2015,Fora da força de trabalho,208
Aracaju (SE),1º trimestre 2016,Força de trabalho,301
Aracaju (SE),1º trimestre 2016,Força de trabalho - ocupada,265
Aracaju (SE),1º trimestre 2016,Força de trabalho - desocupada,36
Aracaju (SE),1º trimestre 2016,Fora da força de trabalho,217
Aracaju (SE),2º trimestre 2016,Força de trabalho,310
Aracaju (SE),2º trimestre 2016,Força de trabalho - ocupada,259
Aracaju (SE),2º trimestre 2016,Força de trabalho - desocupada,51
Aracaju (SE),2º trimestre 2016,Fora da força de trabalho,210
Aracaju (SE),3º trimestre 2016,Força de trabalho,324
Aracaju (SE),3º trimestre 2016,Força de trabalho - ocupada,264
Aracaju (SE),3º trimestre 2016,Força de trabalho - desocupada,60
Aracaju (SE),3º trimestre 2016,Fora da força de trabalho,195
Aracaju (SE),4º trimestre 2016,Força de trabalho,331
Aracaju (SE),4º trimestre 2016,Força de trabalho - ocupada,273
Aracaju (SE),4º trimestre 2016,Força de trabalho - desocupada,58
Aracaju (SE),4º trimestre 2016,Fora da força de trabalho,193
Aracaju (SE),1º trimestre 2017,Força de trabalho,313
Aracaju (SE),1º trimestre 2017,Força de trabalho - ocupada,259
Aracaju (SE),1º trimestre 2017,Força de trabalho - desocupada,54
Aracaju (SE),1º trimestre 2017,Fora da força de trabalho,206
Aracaju (SE),2º trimestre 2017,Força de trabalho,317
Aracaju (SE),2º trimestre 2017,Força de trabalho - ocupada,266
Aracaju (SE),2º trimestre 2017,Força de trabalho - desocupada,52
Aracaju (SE),2º trimestre 2017,Fora da força de trabalho,206
Aracaju (SE),3º trimestre 2017,Força de trabalho,321
Aracaju (SE),3º trimestre 2017,Força de trabalho - ocupada,277
Aracaju (SE),3º trimestre 2017,Força de trabalho - desocupada,45
Aracaju (SE),3º trimestre 2017,Fora da força de trabalho,201
Aracaju (SE),4º trimestre 2017,Força de trabalho,330
Aracaju (SE),4º trimestre 2017,Força de trabalho - ocupada,282
Aracaju (SE),4º trimestre 2017,Força de trabalho - desocupada,48
Aracaju (SE),4º trimestre 2017,Fora da força de trabalho,196
Aracaju (SE),1º trimestre 2018,Força de trabalho,328
Aracaju (SE),1º trimestre 2018,Força de trabalho - ocupada,271
Aracaju (SE),1º trimestre 2018,Força de trabalho - desocupada,57
Aracaju (SE),1º trimestre 2018,Fora da força de trabalho,192
Aracaju (SE),2º trimestre 2018,Força de trabalho,311
Aracaju (SE),2º trimestre 2018,Força de trabalho - ocupada,259
Aracaju (SE),2º trimestre 2018,Força de trabalho - desocupada,52
Aracaju (SE),2º trimestre 2018,Fora da força de trabalho,206
Aracaju (SE),3º trimestre 2018,Força de trabalho,319
Aracaju (SE),3º trimestre 2018,Força de trabalho - ocupada,264
Aracaju (SE),3º trimestre 2018,Força de trabalho - desocupada,55
Aracaju (SE),3º trimestre 2018,Fora da força de trabalho,200
Aracaju (SE),4º trimestre 2018,Força de trabalho,317
Aracaju (SE),4º trimestre 2018,Força de trabalho - ocupada,270
Aracaju (SE),4º trimestre 2018,Força de trabalho - desocupada,47
Aracaju (SE),4º trimestre 2018,Fora da força de trabalho,210
Aracaju (SE),1º trimestre 2019,Força de trabalho,318
Aracaju (SE),1º trimestre 2019,Força de trabalho - ocupada,275
Aracaju (SE),1º trimestre 2019,Força de trabalho - desocupada,43
Aracaju (SE),1º trimestre 2019,Fora da força de trabalho,207
Aracaju (SE),2º trimestre 2019,Força de trabalho,344
Aracaju (SE),2º trimestre 2019,Força de trabalho - ocupada,295
Aracaju (SE),2º trimestre 2019,Força de trabalho - desocupada,49
Aracaju (SE),2º trimestre 2019,Fora da força de trabalho,188
Aracaju (SE),3º trimestre 2019,Força de trabalho,336
Aracaju (SE),3º trimestre 2019,Força de trabalho - ocupada,285
Aracaju (SE),3º trimestre 2019,Força de trabalho - desocupada,52
Aracaju (SE),3º trimestre 2019,Fora da força de trabalho,196
Aracaju (SE),4º trimestre 2019,Força de trabalho,343
Aracaju (SE),4º trimestre 2019,Força de trabalho - ocupada,293
Aracaju (SE),4º trimestre 2019,Força de trabalho - desocupada,50
Aracaju (SE),4º trimestre 2019,Fora da força de trabalho,189
Aracaju (SE),1º trimestre 2020,Força de trabalho,330
Aracaju (SE),1º trimestre 2020,Força de trabalho - ocupada,280
Aracaju (SE),1º trimestre 2020,Força de trabalho - desocupada,50
Aracaju (SE),1º trimestre 2020,Fora da força de trabalho,204
Aracaju (SE),2º trimestre 2020,Força de trabalho,0
Aracaju (SE),2º trimestre 2020,Força de trabalho - ocupada,0
Aracaju (SE),2º trimestre 2020,Força de trabalho - desocupada,0
Aracaju (SE),2º trimestre 2020,Fora da força de trabalho,0
Aracaju (SE),3º trimestre 2020,Força de trabalho,0
Aracaju (SE),3º trimestre 2020,Força de trabalho - ocupada,0
Aracaju (SE),3º trimestre 2020,Força de trabalho - desocupada,0
Aracaju (SE),3º trimestre 2020,Fora da força de trabalho,0
Aracaju (SE),4º trimestre 2020,Força de trabalho,0
Aracaju (SE),4º trimestre 2020,Força de trabalho - ocupada,0
